"tvelx-rfile"
"Time Step" "tvelx etc.."
("Time Step" "tvelx(t1)" "tvelx(t2)" "flow-time")
11440 -1.396984e-08 0 11.44118
11441 -1.373701e-08 0 11.44218
11442 -1.44355e-08 0 11.44318
11443 -1.373701e-08 0 11.44418
11444 -1.420267e-08 0 11.44518
11445 -1.373701e-08 0 11.44618
11446 -1.396984e-08 0 11.44718
11447 -1.396984e-08 0 11.44818
11448 -1.373701e-08 0 11.44918
11449 -1.373701e-08 0 11.45018
11450 -1.350418e-08 0 11.45118
11451 -1.420267e-08 0 11.45218
11452 -1.420267e-08 0 11.45318
11453 -1.373701e-08 0 11.45418
11454 -1.44355e-08 0 11.45518
11455 -1.373701e-08 0 11.45619
11456 -1.396984e-08 0 11.45719
11457 -1.350418e-08 0 11.45819
11458 -1.44355e-08 0 11.45919
11459 -1.420267e-08 0 11.46019
11460 -1.420267e-08 0 11.46119
11461 -1.44355e-08 0 11.46219
11462 -1.396984e-08 0 11.46319
11463 -1.466833e-08 0 11.46419
11464 -1.44355e-08 0 11.46519
11465 -1.466833e-08 0 11.46619
11466 -1.396984e-08 0 11.46719
11467 -1.466833e-08 0 11.46819
11468 -1.396984e-08 0 11.46919
11469 -1.44355e-08 0 11.47019
11470 -1.420267e-08 0 11.47119
11471 -1.420267e-08 0 11.47219
11472 -1.420267e-08 0 11.47319
11473 -1.420267e-08 0 11.47419
11474 -1.396984e-08 0 11.47519
11475 -1.466833e-08 0 11.47619
11476 -1.44355e-08 0 11.47719
11477 -1.466833e-08 0 11.47819
11478 -1.420267e-08 0 11.47919
11479 -1.490116e-08 0 11.4802
11480 -1.513399e-08 0 11.4812
11481 -1.420267e-08 0 11.4822
11482 -1.44355e-08 0 11.4832
11483 -1.420267e-08 0 11.4842
11484 -1.466833e-08 0 11.4852
11485 -1.420267e-08 0 11.4862
11486 -1.466833e-08 0 11.4872
11487 -1.466833e-08 0 11.4882
11488 -1.466833e-08 0 11.4892
11489 -1.396984e-08 0 11.4902
11490 -1.420267e-08 0 11.4912
11491 -1.466833e-08 0 11.4922
11492 -1.466833e-08 0 11.4932
11493 -1.420267e-08 0 11.4942
11494 -1.44355e-08 0 11.4952
11495 -1.44355e-08 0 11.4962
11496 -1.44355e-08 0 11.4972
11497 -1.396984e-08 0 11.4982
11498 -1.44355e-08 0 11.4992
11499 -1.396984e-08 0 11.5002
11500 -1.396984e-08 0 11.5012
11501 -1.44355e-08 0 11.5022
11502 -1.44355e-08 0 11.5032
11503 -1.420267e-08 0 11.5042
11504 -1.396984e-08 0 11.50521
11505 -1.44355e-08 0 11.50621
11506 -1.396984e-08 0 11.50721
11507 -1.396984e-08 0 11.50821
11508 -1.396984e-08 0 11.50921
11509 -1.44355e-08 0 11.51021
11510 -1.44355e-08 0 11.51121
11511 -1.44355e-08 0 11.51221
11512 -1.373701e-08 0 11.51321
11513 -1.490116e-08 0 11.51421
11514 -1.44355e-08 0 11.51521
11515 -1.420267e-08 0 11.51621
11516 -1.396984e-08 0 11.51721
11517 -1.373701e-08 0 11.51821
11518 -1.373701e-08 0 11.51921
11519 -1.44355e-08 0 11.52021
11520 -1.350418e-08 0 11.52121
11521 -1.396984e-08 0 11.52221
11522 -1.44355e-08 0 11.52321
11523 -1.396984e-08 0 11.52421
11524 -1.420267e-08 0 11.52521
11525 -1.420267e-08 0 11.52621
11526 -1.373701e-08 0 11.52721
11527 -1.350418e-08 0 11.52821
11528 -1.350418e-08 0 11.52921
11529 -1.420267e-08 0 11.53022
11530 -1.327135e-08 0 11.53122
11531 -1.327135e-08 0 11.53222
11532 -1.373701e-08 0 11.53322
11533 -1.327135e-08 0 11.53422
11534 -1.303852e-08 0 11.53522
11535 -1.327135e-08 0 11.53622
11536 -1.373701e-08 0 11.53722
11537 -1.303852e-08 0 11.53822
11538 -1.350418e-08 0 11.53922
11539 -1.373701e-08 0 11.54022
11540 -1.327135e-08 0 11.54122
11541 -1.303852e-08 0 11.54222
11542 -1.327135e-08 0 11.54322
11543 -1.327135e-08 0 11.54422
11544 -1.327135e-08 0 11.54522
11545 -1.303852e-08 0 11.54622
11546 -1.373701e-08 0 11.54722
11547 -1.280569e-08 0 11.54822
11548 -1.257285e-08 0 11.54922
11549 -1.234002e-08 0 11.55022
11550 -1.350418e-08 0 11.55122
11551 -1.280569e-08 0 11.55222
11552 -1.257285e-08 0 11.55322
11553 -1.280569e-08 0 11.55422
11554 -1.280569e-08 0 11.55523
11555 -1.280569e-08 0 11.55623
11556 -1.257285e-08 0 11.55723
11557 -1.257285e-08 0 11.55823
11558 -1.280569e-08 0 11.55923
11559 -1.210719e-08 0 11.56023
11560 -1.257285e-08 0 11.56123
11561 -1.187436e-08 0 11.56223
11562 -1.187436e-08 0 11.56323
11563 -1.234002e-08 0 11.56423
11564 -1.210719e-08 0 11.56523
11565 -1.187436e-08 0 11.56623
11566 -1.234002e-08 0 11.56723
11567 -1.187436e-08 0 11.56823
11568 -1.187436e-08 0 11.56923
11569 -1.14087e-08 0 11.57023
11570 -1.164153e-08 0 11.57123
11571 -1.164153e-08 0 11.57223
11572 -1.187436e-08 0 11.57323
11573 -1.14087e-08 0 11.57423
11574 -1.164153e-08 0 11.57523
11575 -1.14087e-08 0 11.57623
11576 -1.164153e-08 0 11.57723
11577 -1.14087e-08 0 11.57823
11578 -1.164153e-08 0 11.57924
11579 -1.14087e-08 0 11.58024
11580 -1.094304e-08 0 11.58124
11581 -1.14087e-08 0 11.58224
11582 -1.117587e-08 0 11.58324
11583 -1.117587e-08 0 11.58424
11584 -1.14087e-08 0 11.58524
11585 -1.094304e-08 0 11.58624
11586 -1.117587e-08 0 11.58724
