"tvelmax-rfile"
"Time Step" "tvelmax etc.."
("Time Step" "tvelmax(t1)" "tvelmax(t2)" "flow-time")
16075 0.557493 0 16.07798
16076 0.558327 0 16.07898
16077 0.5591089 0 16.07998
16078 0.559842 0 16.08098
16079 0.5605292 0 16.08198
16080 0.5611735 0 16.08298
16081 0.5617775 0 16.08397
16082 0.5623438 0 16.08497
16083 0.5647219 0 16.08597
16084 0.5669514 0 16.08697
16085 0.5690415 0 16.08797
16086 0.5710011 0 16.08897
16087 0.5728381 0 16.08997
16088 0.5745603 0 16.09097
16089 0.5761749 0 16.09197
16090 0.5776885 0 16.09297
16091 0.5791076 0 16.09397
16092 0.580438 0 16.09497
16093 0.5816852 0 16.09597
16094 0.5828546 0 16.09697
16095 0.5839507 0 16.09797
16096 0.5849783 0 16.09897
16097 0.5859419 0 16.09997
16098 0.5868451 0 16.10097
16099 0.5876918 0 16.10196
16100 0.5884857 0 16.10296
16101 0.58923 0 16.10396
16102 0.5899277 0 16.10496
16103 0.5922847 0 16.10596
16104 0.5944945 0 16.10696
16105 0.596566 0 16.10796
16106 0.5985081 0 16.10896
16107 0.6003288 0 16.10996
16108 0.6020358 0 16.11096
16109 0.603636 0 16.11196
16110 0.6051362 0 16.11296
16111 0.6065427 0 16.11396
16112 0.6078613 0 16.11496
16113 0.6090974 0 16.11596
16114 0.6102563 0 16.11696
16115 0.6113427 0 16.11796
16116 0.6123613 0 16.11896
16117 0.6133162 0 16.11996
16118 0.6142114 0 16.12095
16119 0.6150507 0 16.12195
16120 0.6158375 0 16.12295
16121 0.6165751 0 16.12395
16122 0.6172666 0 16.12495
16123 0.6194448 0 16.12595
16124 0.6214867 0 16.12695
16125 0.623401 0 16.12795
16126 0.6251957 0 16.12895
16127 0.6268783 0 16.12995
16128 0.6284557 0 16.13095
16129 0.6299344 0 16.13195
16130 0.6313208 0 16.13295
16131 0.6326205 0 16.13395
16132 0.633839 0 16.13495
16133 0.6349813 0 16.13595
16134 0.6360522 0 16.13695
16135 0.6370563 0 16.13795
16136 0.6379974 0 16.13894
16137 0.63888 0 16.13994
16138 0.6397072 0 16.14094
16139 0.6404828 0 16.14194
16140 0.6412099 0 16.14294
16141 0.6418915 0 16.14394
16142 0.6425306 0 16.14494
16143 0.644272 0 16.14594
16144 0.6459047 0 16.14694
16145 0.6474352 0 16.14794
16146 0.6488701 0 16.14894
16147 0.6502154 0 16.14994
16148 0.6514765 0 16.15094
16149 0.6526588 0 16.15194
16150 0.6537673 0 16.15294
16151 0.6548064 0 16.15394
16152 0.6557806 0 16.15494
16153 0.656694 0 16.15594
16154 0.6575502 0 16.15693
16155 0.6583529 0 16.15793
16156 0.6591054 0 16.15893
16157 0.659811 0 16.15993
16158 0.6604725 0 16.16093
16159 0.6610925 0 16.16193
16160 0.6616739 0 16.16293
16161 0.6622189 0 16.16393
16162 0.6627298 0 16.16493
16163 0.6638837 0 16.16593
16164 0.6649654 0 16.16693
16165 0.6659796 0 16.16793
16166 0.6669303 0 16.16893
16167 0.6678216 0 16.16993
16168 0.6686572 0 16.17093
16169 0.6694406 0 16.17193
16170 0.6701751 0 16.17293
16171 0.6708636 0 16.17393
16172 0.6715091 0 16.17492
16173 0.6721143 0 16.17592
16174 0.6726816 0 16.17692
16175 0.6732135 0 16.17792
16176 0.6737121 0 16.17892
16177 0.6741796 0 16.17992
16178 0.6746178 0 16.18092
16179 0.6750287 0 16.18192
16180 0.6754139 0 16.18292
16181 0.675775 0 16.18392
16182 0.6761135 0 16.18492
16183 0.6768377 0 16.18592
16184 0.6775168 0 16.18692
16185 0.6781533 0 16.18792
16186 0.6787502 0 16.18892
16187 0.6793096 0 16.18992
16188 0.6798341 0 16.19092
16189 0.6803258 0 16.19192
16190 0.6807868 0 16.19291
16191 0.681219 0 16.19391
16192 0.6816242 0 16.19491
16193 0.682004 0 16.19591
16194 0.6823601 0 16.19691
16195 0.682694 0 16.19791
16196 0.683007 0 16.19891
16197 0.6833004 0 16.19991
16198 0.6835755 0 16.20091
16199 0.6838334 0 16.20191
16200 0.6840752 0 16.20291
16201 0.6843019 0 16.20391
16202 0.6845143 0 16.20491
16203 0.6855532 0 16.20591
16204 0.6865271 0 16.20691
16205 0.6874402 0 16.20791
16206 0.6882961 0 16.20891
16207 0.6890985 0 16.20991
16208 0.6898509 0 16.21091
16209 0.6905562 0 16.2119
16210 0.6912174 0 16.2129
16211 0.6918373 0 16.2139
16212 0.6924185 0 16.2149
16213 0.6929633 0 16.2159
16214 0.6934741 0 16.2169
16215 0.6939529 0 16.2179
16216 0.6944018 0 16.2189
16217 0.6948227 0 16.2199
16218 0.6952173 0 16.2209
16219 0.6955872 0 16.2219
16220 0.6959339 0 16.2229
16221 0.6962591 0 16.2239
16222 0.6965638 0 16.2249
16223 0.6974292 0 16.2259
16224 0.6982405 0 16.2269
16225 0.6990011 0 16.2279
16226 0.6997141 0 16.2289
16227 0.7003825 0 16.22989
16228 0.7010093 0 16.23089
16229 0.7015968 0 16.23189
16230 0.7021475 0 16.23289
16231 0.7026639 0 16.23389
16232 0.703148 0 16.23489
16233 0.7036019 0 16.23589
16234 0.7040274 0 16.23689
16235 0.7044263 0 16.23789
16236 0.7048002 0 16.23889
16237 0.7051508 0 16.23989
16238 0.7054795 0 16.24089
16239 0.7057877 0 16.24189
16240 0.7060765 0 16.24289
16241 0.7063473 0 16.24389
16242 0.7066012 0 16.24489
16243 0.7065578 0 16.24589
16244 0.706517 0 16.24689
16245 0.7064788 0 16.24788
16246 0.706443 0 16.24888
16247 0.7064094 0 16.24988
16248 0.7063779 0 16.25088
16249 0.7063484 0 16.25188
16250 0.7063208 0 16.25288
16251 0.7062948 0 16.25388
16252 0.7062705 0 16.25488
16253 0.7062477 0 16.25588
16254 0.7062263 0 16.25688
16255 0.7062063 0 16.25788
16256 0.7061875 0 16.25888
16257 0.7061698 0 16.25988
16258 0.7061534 0 16.26088
16259 0.7061378 0 16.26188
16260 0.7061234 0 16.26288
16261 0.7061098 0 16.26388
16262 0.7060971 0 16.26488
16263 0.7047098 0 16.26587
16264 0.7034091 0 16.26687
16265 0.7021899 0 16.26787
16266 0.7010468 0 16.26887
16267 0.6999752 0 16.26987
16268 0.6989706 0 16.27087
16269 0.6980287 0 16.27187
16270 0.6971456 0 16.27287
16271 0.6963179 0 16.27387
16272 0.6955417 0 16.27487
16273 0.6948142 0 16.27587
16274 0.694132 0 16.27687
16275 0.6934927 0 16.27787
16276 0.6928931 0 16.27887
16277 0.6923311 0 16.27987
16278 0.6918042 0 16.28087
16279 0.6913102 0 16.28187
16280 0.690847 0 16.28287
16281 0.6904129 0 16.28386
16282 0.690006 0 16.28486
16283 0.6870378 0 16.28586
16284 0.6842552 0 16.28686
16285 0.6816466 0 16.28786
16286 0.6792009 0 16.28886
16287 0.6769082 0 16.28986
16288 0.6747587 0 16.29086
16289 0.6727436 0 16.29186
16290 0.6708544 0 16.29286
16291 0.6690832 0 16.29386
16292 0.6674228 0 16.29486
16293 0.6658662 0 16.29586
16294 0.6644068 0 16.29686
16295 0.6630386 0 16.29786
16296 0.661756 0 16.29886
16297 0.6605535 0 16.29986
16298 0.6594263 0 16.30086
16299 0.6583694 0 16.30186
16300 0.6573786 0 16.30285
16301 0.6564497 0 16.30385
16302 0.6555788 0 16.30485
16303 0.6514007 0 16.30585
16304 0.6474836 0 16.30685
16305 0.6438113 0 16.30785
16306 0.6403687 0 16.30885
16307 0.6371412 0 16.30985
16308 0.6341153 0 16.31085
16309 0.6312786 0 16.31185
16310 0.6286192 0 16.31285
16311 0.626126 0 16.31385
16312 0.6237887 0 16.31485
16313 0.6215973 0 16.31585
16314 0.619543 0 16.31685
16315 0.6176171 0 16.31785
16316 0.6158115 0 16.31885
16317 0.6141188 0 16.31985
16318 0.6125318 0 16.32084
16319 0.6110441 0 16.32184
16320 0.6096494 0 16.32284
16321 0.6083418 0 16.32384
16322 0.6071159 0 16.32484
16323 0.6028385 0 16.32584
16324 0.5988285 0 16.32684
16325 0.5950691 0 16.32784
16326 0.5915446 0 16.32884
16327 0.5882404 0 16.32984
16328 0.5851428 0 16.33084
16329 0.5822386 0 16.33184
16330 0.5795161 0 16.33284
16331 0.5769637 0 16.33384
16332 0.5745709 0 16.33484
16333 0.5723276 0 16.33584
16334 0.5702245 0 16.33684
16335 0.5682527 0 16.33784
16336 0.5664043 0 16.33883
16337 0.5646714 0 16.33983
16338 0.5630468 0 16.34083
16339 0.5615237 0 16.34183
16340 0.5600959 0 16.34283
16341 0.5587572 0 16.34383
16342 0.5575023 0 16.34483
16343 0.5554783 0 16.34583
16344 0.5535808 0 16.34683
16345 0.5518019 0 16.34783
16346 0.5501342 0 16.34883
16347 0.5485707 0 16.34983
16348 0.5471049 0 16.35083
16349 0.5457308 0 16.35183
16350 0.5444425 0 16.35283
16351 0.5432347 0 16.35383
16352 0.5421024 0 16.35483
16353 0.541041 0 16.35583
16354 0.5400458 0 16.35682
16355 0.5391128 0 16.35782
16356 0.5382382 0 16.35882
16357 0.5374182 0 16.35982
16358 0.5366495 0 16.36082
16359 0.5359288 0 16.36182
16360 0.5352531 0 16.36282
16361 0.5346197 0 16.36382
16362 0.5340258 0 16.36482
16363 0.5347453 0 16.36582
16364 0.5354198 0 16.36682
16365 0.5360522 0 16.36782
16366 0.536645 0 16.36882
16367 0.5372007 0 16.36982
16368 0.5377218 0 16.37082
16369 0.5382103 0 16.37182
16370 0.5386682 0 16.37282
16371 0.5390975 0 16.37382
16372 0.5395 0 16.37481
16373 0.5398773 0 16.37581
16374 0.5402311 0 16.37681
16375 0.5405627 0 16.37781
16376 0.5408736 0 16.37881
16377 0.5411651 0 16.37981
16378 0.5414384 0 16.38081
16379 0.5416946 0 16.38181
16380 0.5419347 0 16.38281
16381 0.5421599 0 16.38381
16382 0.5423709 0 16.38481
16383 0.5444067 0 16.38581
16384 0.5463151 0 16.38681
16385 0.5481041 0 16.38781
16386 0.5497815 0 16.38881
16387 0.5513539 0 16.38981
16388 0.5528282 0 16.39081
16389 0.5542102 0 16.39181
16390 0.5555059 0 16.39281
16391 0.5567207 0 16.3938
16392 0.5578594 0 16.3948
16393 0.5589271 0 16.3958
16394 0.5599279 0 16.3968
16395 0.5608662 0 16.3978
16396 0.5617459 0 16.3988
16397 0.5625707 0 16.3998
16398 0.5633438 0 16.4008
16399 0.5640687 0 16.4018
16400 0.5647482 0 16.4028
16401 0.5653853 0 16.4038
16402 0.5659825 0 16.4048
16403 0.5683623 0 16.4058
16404 0.5705933 0 16.4068
16405 0.5726848 0 16.4078
16406 0.5746456 0 16.4088
16407 0.576484 0 16.4098
16408 0.5782074 0 16.4108
16409 0.5798231 0 16.41179
16410 0.5813378 0 16.41279
16411 0.5827578 0 16.41379
16412 0.5840892 0 16.41479
16413 0.5853372 0 16.41579
16414 0.5865073 0 16.41679
16415 0.5876042 0 16.41779
16416 0.5886326 0 16.41879
16417 0.5895967 0 16.41979
16418 0.5905006 0 16.42079
16419 0.591348 0 16.42179
16420 0.5921423 0 16.42279
16421 0.5928871 0 16.42379
16422 0.5935853 0 16.42479
16423 0.595929 0 16.42579
16424 0.5981263 0 16.42679
16425 0.6001861 0 16.42779
16426 0.6021174 0 16.42879
16427 0.6039278 0 16.42978
16428 0.6056251 0 16.43078
16429 0.6072164 0 16.43178
16430 0.6087081 0 16.43278
16431 0.6101066 0 16.43378
16432 0.6114178 0 16.43478
16433 0.612647 0 16.43578
16434 0.6137993 0 16.43678
16435 0.6148797 0 16.43778
16436 0.6158925 0 16.43878
16437 0.616842 0 16.43978
16438 0.6177321 0 16.44078
16439 0.6185667 0 16.44178
16440 0.6193491 0 16.44278
16441 0.6200826 0 16.44378
16442 0.6207702 0 16.44478
16443 0.6229055 0 16.44578
16444 0.6249074 0 16.44678
16445 0.626784 0 16.44777
16446 0.6285436 0 16.44877
16447 0.630193 0 16.44977
16448 0.6317393 0 16.45077
16449 0.6331891 0 16.45177
16450 0.6345482 0 16.45277
16451 0.6358225 0 16.45377
16452 0.637017 0 16.45477
16453 0.6381369 0 16.45577
16454 0.6391868 0 16.45677
16455 0.6401711 0 16.45777
16456 0.6410937 0 16.45877
16457 0.6419589 0 16.45977
16458 0.6427699 0 16.46077
16459 0.6435302 0 16.46177
16460 0.6442431 0 16.46277
16461 0.6449113 0 16.46377
16462 0.6455377 0 16.46477
16463 0.6472067 0 16.46576
16464 0.6487711 0 16.46676
16465 0.650238 0 16.46776
16466 0.651613 0 16.46876
16467 0.6529022 0 16.46976
16468 0.6541107 0 16.47076
16469 0.6552438 0 16.47176
16470 0.656306 0 16.47276
16471 0.6573018 0 16.47376
16472 0.6582354 0 16.47476
16473 0.6591107 0 16.47576
16474 0.6599312 0 16.47676
16475 0.6607005 0 16.47776
16476 0.6614217 0 16.47876
16477 0.6620977 0 16.47976
16478 0.6627316 0 16.48076
16479 0.6633258 0 16.48176
16480 0.6638829 0 16.48276
16481 0.6644052 0 16.48376
16482 0.6648948 0 16.48475
16483 0.6659633 0 16.48575
16484 0.6669649 0 16.48675
16485 0.667904 0 16.48775
16486 0.6687843 0 16.48875
16487 0.6696097 0 16.48975
16488 0.6703834 0 16.49075
16489 0.6711087 0 16.49175
16490 0.6717889 0 16.49275
16491 0.6724264 0 16.49375
16492 0.6730241 0 16.49475
16493 0.6735844 0 16.49575
16494 0.6741098 0 16.49675
16495 0.6746022 0 16.49775
16496 0.6750639 0 16.49875
16497 0.6754969 0 16.49975
16498 0.6759027 0 16.50075
16499 0.6762831 0 16.50175
16500 0.6766397 0 16.50274
16501 0.6769741 0 16.50374
16502 0.6772876 0 16.50474
16503 0.6780605 0 16.50574
16504 0.6787851 0 16.50674
16505 0.6794644 0 16.50774
16506 0.6801012 0 16.50874
16507 0.6806983 0 16.50974
16508 0.681258 0 16.51074
16509 0.6817827 0 16.51174
16510 0.6822747 0 16.51274
16511 0.6827359 0 16.51374
16512 0.6831682 0 16.51474
16513 0.6835735 0 16.51574
16514 0.6839536 0 16.51674
16515 0.6843099 0 16.51774
16516 0.6846439 0 16.51874
16517 0.684957 0 16.51974
16518 0.6852506 0 16.52073
16519 0.6855258 0 16.52173
16520 0.6857838 0 16.52273
16521 0.6860257 0 16.52373
16522 0.6862524 0 16.52473
16523 0.6872777 0 16.52573
16524 0.6882389 0 16.52673
16525 0.68914 0 16.52773
16526 0.6899848 0 16.52873
16527 0.6907768 0 16.52973
16528 0.6915193 0 16.53073
16529 0.6922154 0 16.53173
