"tvely-rfile"
"Time Step" "tvely etc.."
("Time Step" "tvely(t1)" "tvely(t2)" "flow-time")
8405 -0.3973311 0 8.404952
8406 -0.3956074 0 8.405952
8407 -0.3939913 0 8.406953
8408 -0.3924763 0 8.407953
8409 -0.391056 0 8.408954
8410 -0.3897244 0 8.409954
8411 -0.388476 0 8.410954
8412 -0.3873057 0 8.411955
8413 -0.3862085 0 8.412955
8414 -0.3851799 0 8.413956
8415 -0.3842157 0 8.414956
8416 -0.3833116 0 8.415956
8417 -0.3824641 0 8.416957
8418 -0.3816695 0 8.417957
8419 -0.3809246 0 8.418958
8420 -0.3802262 0 8.419958
8421 -0.3795715 0 8.420959
8422 -0.3789577 0 8.421959
8423 -0.3790175 0 8.422959
8424 -0.3790735 0 8.42396
8425 -0.379126 0 8.42496
8426 -0.3791752 0 8.425961
8427 -0.3792214 0 8.426961
8428 -0.3792647 0 8.427961
8429 -0.3793052 0 8.428962
8430 -0.3793433 0 8.429962
8431 -0.3793789 0 8.430963
8432 -0.3794124 0 8.431963
8433 -0.3794437 0 8.432963
8434 -0.3794731 0 8.433964
8435 -0.3795006 0 8.434964
8436 -0.3795264 0 8.435965
8437 -0.3795507 0 8.436965
8438 -0.3795733 0 8.437965
8439 -0.3795946 0 8.438966
8440 -0.3796146 0 8.439966
8441 -0.3796333 0 8.440967
8442 -0.3796508 0 8.441967
8443 -0.3809238 0 8.442967
8444 -0.3821173 0 8.443968
8445 -0.3832362 0 8.444968
8446 -0.3842852 0 8.445969
8447 -0.3852685 0 8.446969
8448 -0.3861904 0 8.447969
8449 -0.3870548 0 8.44897
8450 -0.3878651 0 8.44997
8451 -0.3886247 0 8.450971
8452 -0.3893369 0 8.451971
8453 -0.3900045 0 8.452971
8454 -0.3906305 0 8.453972
8455 -0.3912173 0 8.454972
8456 -0.3917674 0 8.455973
8457 -0.3922832 0 8.456973
8458 -0.3927667 0 8.457973
8459 -0.39322 0 8.458974
8460 -0.3936449 0 8.459974
8461 -0.3940433 0 8.460975
8462 -0.3944168 0 8.461975
8463 -0.3960814 0 8.462976
8464 -0.3976418 0 8.463976
8465 -0.3991048 0 8.464976
8466 -0.4004763 0 8.465977
8467 -0.4017621 0 8.466977
8468 -0.4029676 0 8.467978
8469 -0.4040976 0 8.468978
8470 -0.4051571 0 8.469978
8471 -0.4061504 0 8.470979
8472 -0.4070815 0 8.471979
8473 -0.4079545 0 8.47298
8474 -0.4087729 0 8.47398
8475 -0.4095402 0 8.47498
8476 -0.4102595 0 8.475981
8477 -0.4109339 0 8.476981
8478 -0.4115661 0 8.477982
8479 -0.4121588 0 8.478982
8480 -0.4127144 0 8.479982
8481 -0.4132353 0 8.480983
8482 -0.4137237 0 8.481983
8483 -0.4153961 0 8.482984
8484 -0.416964 0 8.483984
8485 -0.4184339 0 8.484984
8486 -0.4198119 0 8.485985
8487 -0.4211038 0 8.486985
8488 -0.4223149 0 8.487986
8489 -0.4234504 0 8.488986
8490 -0.4245149 0 8.489986
8491 -0.4255129 0 8.490987
8492 -0.4264485 0 8.491987
8493 -0.4273256 0 8.492988
8494 -0.4281479 0 8.493988
8495 -0.4289187 0 8.494988
8496 -0.4296415 0 8.495989
8497 -0.430319 0 8.496989
8498 -0.4309542 0 8.49799
8499 -0.4315497 0 8.49899
8500 -0.432108 0 8.49999
8501 -0.4326314 0 8.500991
8502 -0.4331221 0 8.501991
8503 -0.4346925 0 8.502992
8504 -0.4361647 0 8.503992
8505 -0.437545 0 8.504992
8506 -0.438839 0 8.505993
8507 -0.440052 0 8.506993
8508 -0.4411893 0 8.507994
8509 -0.4422556 0 8.508994
8510 -0.4432551 0 8.509995
8511 -0.4441922 0 8.510995
8512 -0.4450707 0 8.511995
8513 -0.4458943 0 8.512996
8514 -0.4466665 0 8.513996
8515 -0.4473903 0 8.514997
8516 -0.448069 0 8.515997
8517 -0.4487052 0 8.516997
8518 -0.4493017 0 8.517998
8519 -0.4498609 0 8.518998
8520 -0.4503851 0 8.519999
8521 -0.4508766 0 8.520999
8522 -0.4513373 0 8.521999
8523 -0.4526264 0 8.523
8524 -0.453835 0 8.524
8525 -0.4549679 0 8.525001
8526 -0.4560301 0 8.526001
8527 -0.4570259 0 8.527001
8528 -0.4579595 0 8.528002
8529 -0.4588347 0 8.529002
8530 -0.4596552 0 8.530003
8531 -0.4604245 0 8.531003
8532 -0.4611456 0 8.532003
8533 -0.4618217 0 8.533004
8534 -0.4624555 0 8.534004
8535 -0.4630498 0 8.535005
8536 -0.4636068 0 8.536005
