Name;Episode;Step;Drag;lift
Simu_M005_NbAct100_lift;1;4160;0.138962;0.05213289
Simu_M005_NbAct100_lift;1;4180;0.1378134;0.0433049
Simu_M005_NbAct100_lift;1;4200;0.1371369;0.03268205
Simu_M005_NbAct100_lift;1;4220;0.1373098;0.02190188
Simu_M005_NbAct100_lift;1;4240;0.1384435;0.01269412
Simu_M005_NbAct100_lift;1;4260;0.140244;0.006418289
Simu_M005_NbAct100_lift;1;4280;0.1420574;0.004104633
Simu_M005_NbAct100_lift;1;4300;0.1431068;0.006382212
Simu_M005_NbAct100_lift;1;4320;0.143242;0.01257486
Simu_M005_NbAct100_lift;1;4340;0.1428266;0.02167627
Simu_M005_NbAct100_lift;1;4360;0.142232;0.03236092
Simu_M005_NbAct100_lift;1;4380;0.1417302;0.04304154
Simu_M005_NbAct100_lift;1;4400;0.1413873;0.05205113
Simu_M005_NbAct100_lift;1;4420;0.1411315;0.05796047
Simu_M005_NbAct100_lift;1;4440;0.1407236;0.05976626
Simu_M005_NbAct100_lift;1;4460;0.1399557;0.05738057
Simu_M005_NbAct100_lift;1;4480;0.1387987;0.05112017
Simu_M005_NbAct100_lift;1;4500;0.1376839;0.04198333
Simu_M005_NbAct100_lift;1;4520;0.1371043;0.03124041
Simu_M005_NbAct100_lift;1;4540;0.137406;0.02056539
Simu_M005_NbAct100_lift;1;4560;0.1386462;0.01163364
Simu_M005_NbAct100_lift;1;4580;0.140495;0.005875502
Simu_M005_NbAct100_lift;1;4600;0.1422555;0.004141727
Simu_M005_NbAct100_lift;1;4620;0.1431693;0.006997152
Simu_M005_NbAct100_lift;1;4640;0.1432101;0.01363294
Simu_M005_NbAct100_lift;1;4660;0.1427516;0.02302682
Simu_M005_NbAct100_lift;1;4680;0.1421552;0.03379949
Simu_M005_NbAct100_lift;1;4700;0.1416762;0.0443471
Simu_M005_NbAct100_lift;1;4720;0.1413483;0.05302961
Simu_M005_NbAct100_lift;1;4740;0.1410908;0.05843328
Simu_M005_NbAct100_lift;1;4760;0.1406582;0.05971335
Simu_M005_NbAct100_lift;1;4780;0.1398171;0.05675378
Simu_M005_NbAct100_lift;1;4800;0.1386362;0.05005703
Simu_M005_NbAct100_lift;1;4820;0.1375663;0.04063116
Simu_M005_NbAct100_lift;1;4840;0.1370856;0.0297976
Simu_M005_NbAct100_lift;1;4860;0.1375175;0.01925311
Simu_M005_NbAct100_lift;1;4880;0.1388618;0.01067192
Simu_M005_NbAct100_lift;1;4900;0.14075;0.005410679
Simu_M005_NbAct100_lift;1;4920;0.1424447;0.004272505
Simu_M005_NbAct100_lift;1;4940;0.1432203;0.007680405
Simu_M005_NbAct100_lift;1;4960;0.1431668;0.01473662
Simu_M005_NbAct100_lift;1;4980;0.1426744;0.02439751
Simu_M005_NbAct100_lift;1;5000;0.1420833;0.03523175
Simu_M005_NbAct100_lift;1;5020;0.1416294;0.04563479
Simu_M005_NbAct100_lift;1;5040;0.1413155;0.0539475
Simu_M005_NbAct100_lift;1;5060;0.1410453;0.05884022
Simu_M005_NbAct100_lift;1;5080;0.1405774;0.05955145
Simu_M005_NbAct100_lift;1;5100;0.1396733;0.05606408
Simu_M005_NbAct100_lift;1;5120;0.1384767;0.04894559
Simu_M005_NbAct100_lift;1;5140;0.1374585;0.03924565
Simu_M005_NbAct100_lift;1;5160;0.1370838;0.02835715
Simu_M005_NbAct100_lift;1;5180;0.1376488;0.01798269
Simu_M005_NbAct100_lift;1;5200;0.1390978;0.009813445
Simu_M005_NbAct100_lift;1;5220;0.1409983;0.0050132
